"Entidade Executora";"UF";"ANO";"Valor Transferido";"Valor aquisições da agricultura familiar";"Percentual.x";"Código IBGE";"Valor transferido";"Valor aquisições agricultura familiar";"Percentual.y"
"PREF MUN DE AGUA BRANCA";"PI";2011;199980;0;0;2200202;428784;650;0,00151591477293929
"PREF MUN DE AGUA CLARA";"MS";2011;154260;0;0;5000203;187660;0;0
"PREF MUN DE AGUA COMPRIDA";"MG";2011;13500;1596,4;0,118251851851852;3100708;14560;0;0
"PREF MUN DE AGUA DOCE";"SC";2011;60180;20728,52;0,344442007311399;4200408;62865,6;21284,95;0,338578650327047
"PREF MUN DE AGUA DOCE DO MARANHAO";"MA";NA;NA;NA;NA;2100154;440616;0;0
"PREF MUN DE AGUA DOCE DO NORTE";"ES";2011;115080;48315,55;0,419843152589503;3200169;135780;62498,93;0,460295551627633
"PREF MUN DE AGUA FRIA";"BA";2011;278100;82235,49;0,295704746494067;2900405;528792;88758,5;0,16785144253317
"PREF MUN DE AGUA FRIA DE GOIAS";"GO";2011;42360;0;0;5200175;43680;0;0
"PREF MUN DE AGUA LIMPA";"GO";2011;9420;3281,23;0,348325902335456;5200209;10700;0;0
"PREF MUN DE AGUA NOVA";"RN";2011;47760;0;0;2400406;94672;0;0
"PREF MUN DE AGUA PRETA";"PE";2011;377208;0;0;2600401;859872;0;0
"PREF MUN DE AGUA SANTA";"RS";2011;32304;8047;0,249102278355622;4300059;34080;10839,9;0,318072183098592
"PREF MUN DE AGUAI";"SP";2011;435660;0;0;3500303;531468;162156,82;0,305111163795374
"PREF MUN DE AGUANIL";"MG";2011;41760;0;0;3100807;50460;13909,77;0,27565933412604
"PREF MUN DE AGUAS BELAS";"PE";2011;633120;119240,89;0,188338529820571;2600500;801420;183227,6;0,228628684085748
"PREF MUN DE AGUAS DA PRATA";"SP";NA;NA;NA;NA;3500402;26076;0;0
"PREF MUN DE AGUAS DE CHAPECO";"SC";2011;22620;19402,87;0,857774977895667;4200507;32520;10008,03;0,30775
"PREF MUN DE AGUAS DE LINDOIA";"SP";2011;246000;0;0;3500501;303400;83131,32;0,273999077125906
"PREF MUN DE AGUAS DE SANTA BARBARA";"SP";2011;90900;3916,72;0,0430882288228823;3500550;109660;6995,25;0,0637903519970819
"PREF MUN DE AGUAS DE SAO PEDRO";"SP";2011;67620;0;0;3500600;86220;0;0
"PREF MUN DE AGUAS FORMOSAS";"MG";2011;66780;2697,6;0,0403953279424978;3100906;79260;6911,2;0,0871965682563714
"PREF MUN DE AGUAS FRIAS";"SC";2011;17520;6153,99;0,351255136986301;4200556;21340;8621,64;0,404013120899719
